"dvoa_rk","player","games","dvoa","avg_tot_dvoa","avg_opp_tot_dvoa_rk","avg_def_dvoa","avg_opp_def_dvoa_rk","avg_pass_def","avg_opp_pass_def_dvoa_rk","starts","wins","losses","win_per"
1,"Joe Montana",9,62.3,18.3,5.3,-10.9,6.3,-12.6,5.7,9,6,3,0.666666666666667
2,"Kurt Warner",13,42.3,17.1,7.2,-8,10.8,-9.5,9.4,13,9,4,0.692307692307692
3,"Drew Brees",11,32.5,16.7,8.7,-6.1,12.1,-2.5,12.6,11,6,5,0.545454545454545
4,"Peyton Manning",23,31.3,20.9,5.5,-7,11.3,-7.3,10,23,11,12,0.478260869565217
5,"Troy Aikman",16,31,13.5,8.9,-4.7,11.3,-4.1,10.1,15,11,4,0.733333333333333
6,"Aaron Rodgers",9,28.9,16.2,8.2,-6,10.8,-1.4,10.9,9,5,4,0.555555555555556
7,"Mark Sanchez",6,28.3,18.5,9.5,-1.5,16.3,1.6,14.3,6,4,2,0.666666666666667
8,"Philip Rivers",9,27.5,24.6,5.4,-12.5,6,-14.5,6.1,9,4,5,0.444444444444444
9,"Steve Young",18,26.2,18.5,6.1,-4.7,10.6,-2.9,10.9,14,8,6,0.571428571428571
10,"John Elway",14,24.7,19.4,6.2,-7,9,-4.9,9.9,14,10,4,0.714285714285714
11,"Tom Brady",26,21.9,17,7.4,-4.2,12.3,-3.5,10.9,26,18,8,0.692307692307692
12,"Mark Rypien",8,21.5,16.2,7.6,-4.1,11,-3,10.4,7,5,2,0.714285714285714
13,"Vinny Testaverde",5,20,18.8,5.8,-3.1,13,-1.4,12.6,5,2,3,0.4
14,"Colin Kaepernick",6,19.9,17.3,8,-5.8,12.3,-5.8,10.5,6,4,2,0.666666666666667
15,"Eli Manning",11,17.9,24.6,4.6,-6.6,11,-4.6,10.6,11,8,3,0.727272727272727
16,"Brett Favre",24,17.1,18.2,6.6,-3.7,12.2,-2.9,11.1,24,13,11,0.541666666666667
17,"Warren Moon",6,15.8,3.7,12.5,-2.9,11.2,0.4,12,6,1,5,0.166666666666667
18,"Joe Flacco",13,15.2,20.3,7.4,-5.9,12.5,-2.5,12.5,13,9,4,0.692307692307692
19,"Matt Hasselbeck",11,14.9,12.2,10.3,-7.1,8.9,-3.9,10,11,5,6,0.454545454545455
20,"Jim Kelly",15,14.8,19.9,6.2,-6.4,9.9,-4.9,11,15,8,7,0.533333333333333
21,"Kerry Collins",7,12.1,20.1,7,-9.2,10.3,-7.6,11.3,7,3,4,0.428571428571429
22,"Randall Cunningham",10,10.7,16.4,7.8,-8.3,8.3,-8,8.8,8,3,5,0.375
23,"Matt Ryan",5,9.1,18.9,8.4,-7.1,9.4,-5.2,11,5,1,4,0.2
24,"Ben Roethlisberger",14,7.1,20.4,6.6,-5.9,11.7,-2.6,11.9,14,10,4,0.714285714285714
25,"Dan Marino",12,6.6,16.3,7,-3.8,11.8,0,12.8,12,5,7,0.416666666666667
26,"Chad Pennington",6,6.1,22.7,6.2,-11.2,8,-10.4,8.7,6,2,4,0.333333333333333
27,"Rich Gannon",9,5.4,17.9,6.1,-10.4,10.7,-14.4,10,7,4,3,0.571428571428571
28,"Michael Vick",6,4,10.2,11.6,-4.3,11,-6.3,9.6,5,2,3,0.4
29,"Neil O'Donnell",9,3.8,11.4,9.4,-2.3,11.7,4.7,15,7,3,4,0.428571428571429
30,"Brad Johnson",7,3.3,18.8,6.7,-9.1,8,-9.6,9.4,7,4,3,0.571428571428571
31,"Jake Delhomme",8,3.2,10.9,10.6,-7.2,10.1,-4.8,12.4,8,5,3,0.625
32,"Jeff Garcia",6,2.4,12.1,9.5,-7.1,12,-9.2,12,6,2,4,0.333333333333333
33,"Steve McNair",10,2.2,19.2,6.2,-8.9,9.3,-7.7,9.9,10,5,5,0.5
34,"Donovan McNabb",16,-1.3,13.9,9.4,-7.4,10,-6.8,10.8,16,9,7,0.5625
35,"Jake Plummer",6,-6.5,20.6,6.3,0.9,17.3,5.4,16.8,6,2,4,0.333333333333333
36,"Mark Brunell",11,-6.7,15.9,7.9,-6.7,9.3,-2.4,11.8,10,5,5,0.5
37,"Stan Humphries",6,-13,13.4,9.3,-5.2,9.8,-3.2,9.7,6,3,3,0.5
38,"Jim Harbaugh",5,-14,16.4,6.6,-6.7,9.2,-0.1,11.6,5,2,3,0.4
40,"Drew Bledsoe",7,-25.4,16.6,8.8,-5.7,11,-0.4,12.5,6,3,3,0.5
